Sw H + Iono O	North to South	T = 12:00:00	
Nightside		Dayside	
X[R]	Z[R]	X[R]	Z[R]
-7.995286045	-1.987826616	7.392162023	-2.317678915
-7.996858573	-1.987264383	7.427673705	-2.266754116
-7.997907003	-1.986889503	7.462085588	-2.215147167
-7.998605991	-1.986639557	7.495444725	-2.162603489
-7.999071998	-1.986472915	7.527587457	-2.110010149
-7.999382676	-1.986361815	7.549335428	-2.073657555
-7.999589798	-1.986287746	7.563743401	-2.049241268
-7.99972788	-1.986238365	7.573308174	-2.032883602
-7.999819936	-1.986205445	7.579664888	-2.021946496
-7.999881307	-1.986183497	7.583893596	-2.014640832
-7.999922221	-1.986168866	7.586708599	-2.009764042
-7.999949497	-1.986159111	7.588583403	-2.006510025
-7.999967681	-1.986152608	7.589832434	-2.004339424
-7.999979803	-1.986148273	7.590664748	-2.002891799
-7.999987885	-1.986145383	7.591219456	-2.001926467
-7.999993273	-1.986143456	7.591589187	-2.001282802
-7.999996865	-1.986142171	7.591835642	-2.000853643
-8.000000457	-1.986140887	7.59199993	-2.000567515
-8.000014825	-1.986135749	7.592109449	-2.000376754
-8.00004356	-1.986125472	7.592182458	-2.000249575
-8.00010103	-1.986104919	7.59223113	-2.000164787
-8.000215969	-1.986063814	7.592263577	-2.000108261
-8.000675702	-1.985899399	7.592285209	-2.000070577
-8.001595102	-1.985570577	7.592299629	-2.000045454
-8.01627502	-1.980317653	7.592309243	-2.000028705
-8.074577877	-1.959394884	7.592315652	-2.000017539
-8.132836834	-1.938383834	7.592319925	-2.000010095
-8.191059754	-1.917282718	7.592322773	-2.000005133
-8.249262181	-1.89610427	7.592324672	-2.000001824
-8.307475233	-1.874848398	7.592326571	-1.999998516
-8.365659669	-1.853527841	7.592334167	-1.999985282
-8.423833633	-1.832152095	7.592349359	-1.999958815
-8.481973008	-1.810735649	7.592592374	-1.999535376
-8.540109986	-1.789254466	7.593563633	-1.997842038
-8.59825589	-1.767719179	7.601281193	-1.984330278
-8.656375236	-1.746160796	7.616521644	-1.95734031
-8.714437227	-1.724593899	7.64621982	-1.903463512
-8.772524859	-1.703005614	7.675291084	-1.849018073
-8.830624448	-1.681412168	7.703678086	-1.794139399
-8.888703768	-1.65981628	7.731244565	-1.738892721
-8.946795079	-1.638213938	7.757909189	-1.683424475
